school,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,nonsense,colors,opponents,spelling,spotify_id,lyrics
Alabama,Yea Alabama,Ethelred Lundy (Epp) Sykes,1926,Yes,Yes,Yes,153,59,No,Yes,Yes,No,1lkKK6lbsPYD6n5QZbiH1q,"Yea, Alabama! Drown 'em Tide!

Every 'Bama man's behind you,

Hit your stride.

Go teach the Bulldogs to behave,

Send the Yellow Jackets to a watery grave.

And if a man starts to weaken,

That's a shame!

For Bama's pluck and grit have

Writ her name in Crimson flame.

Fight on, fight on, fight on men!

Remember the Rose Bowl, we'll win then.

Go, roll to victory,

Hit your stride,

You're Dixie's football pride,

Crimson Tide, Roll Tide, Roll Tide!!"
Arizona,"Bear Down, Arizona",Jack K. Lee,1952,No,No,No,144,83,No,Yes,No,No,2ckfyC5awK1YD3kbOfCHeP,"Bear Down, Arizona

Bear Down, red and Blue

Bear Down, Arizona

Hit 'em hard, let 'em know who's who;

Bear Down, Arizona

Bear Down, Red and Blue

Go, go, Wildcats, go;

Arizona, Bear Down"
Arizona State,Maroon and Gold,Felix McKernan,1948,No,Yes,No,150,106,No,Yes,No,Yes,138TmlsqwA1J0pGeJBoGUS,"Fight, Devils Down The Field

Fight With Your Might and Don't Ever Yield

Long May Our Colors Outshine All Others

Echo From The Buttes, Give 'Em Hell Devils!

Cheer, Cheer For A-S-U

Fight For The Old Maroon

For it's Hail, Hail, The Gang's All Here

And It's Onward to Victory!"
Arkansas,Arkansas Fight,William Edwin Douglass,1913,Yes,Yes,No,77,88,No,No,No,Yes,20iLjYvQOdAO3lPYkfycGn,"Hit that line! Hit that line!

Keep on going!

Move that ball right down the field!

Give a cheer. Rah! Rah!

Never fear. Rah! Rah!

Arkansas will never yield!

On your toes, Razorbacks, to the finish,

Carry on with all your might!

For it's A-A-A-R-K-A-N-S-A-S

for Arkansas!

Fight! Fight! Fi-i-i-ight!"
Auburn,War Eagle,Robert Allen and Al Stillman,1955,No,Yes,No,77,27,No,Yes,No,No,1WSPADIiYIO5GfNTJ2vwnM,"War Eagle, fly down the field,

Ever to conquer, never to yield.

War Eagle, fearless and true.

Fight on you orange and blue.

Go! Go! Go!

On to vict'ry, strike up the band.

Give 'em hell, give 'em hell,

Stand up and yell, hey!

War Eagle, win for Auburn,

Power of Dixieland!"
Baylor,Old Fight,Dick Baker and Frank Boggs,1947,Yes,Yes,No,76,99,No,Yes,No,Yes,2ZsaI0Cu4nz8DHfBkPt0Dl,"Bear down you Bears of Old Baylor U We're all for you!

GO BEARS!

We're gonna show dear old Baylor spirit through and through!

GO BEARS!

Come on and fight them with all your might you bruins bold

And win all our victories for the Green and Gold!

B! A! Y! L! O! R! BAYLOR! BEARS! FIGHT!

Come on and fight them with all your might you bruins bold

And win all our victories for the Green and Gold!

B-A-Y-L-O-R BAYLOR BEARS FIGHT!"
Boston College,For Boston,T.J. Hurley,Unknown,No,Yes,No,147,84,No,No,No,No,4E8cLR6NcYCCJWqD2iwz7c,"For Boston, for Boston,

We sing our proud refrain!

For Boston, for Boston,

'Tis Wisdom's earthly fane.

For here all are one

And their hearts are true,

And the towers on the Heights

Reach to Heav'ns own blue.

For Boston, for Boston,

Till the echoes ring again!

For Boston, for Boston,

Thy glory is our own!

For Boston, for Boston,

'Tis here that Truth is known.

And ever with the Right

Shall thy heirs be found,

Till time shall be no more

And thy work is crown'd.

For Boston, for Boston,

For Thee and Thine alone."
California,Fight for California,Earl Elleson McCoy and Robert N. Fitch,1909,No,Yes,No,134,88,No,Yes,No,No,06Qz83gVtmHtWTClrucgjX,"Our sturdy Golden Bear,

Is watching from the skies,

Looks down upon our colors fair,

And guards us from his lair.

Our banner Gold and Blue,

The symbol on it too,

Means FIGHT! for California.

For California through and through!

Stalwarts girded for the fray,

Will strive for victory,

Their all at Mater's feet will lay,

That brain and brawn will win the day.

Our mighty sons and true

Will strive for us anew,

And FIGHT! for California,

For California through and through!"
Clemson,Tiger Rag,Original Dixieland Jass Band,1917,No,Yes,No,145,78,No,No,No,Yes,7hGtgN4N9ebZTlC7xhvKIE,"Long ago way down in the jungle

Someone got an inspiration for a tune

And that jingle came from the jungle

Became famous mighty soon

Thrills and chills it sends through you

Hot so hot it burns you too

Though it's just the growl of the Tiger

It was written in a syncopated way

More and more they yell for the Tiger

Everywhere you go today, they're shoutin:

Where's that Tiger?

Where's that Tiger?

Where's that Tiger?

Where's that Tiger?

Hold that Tiger!

Hold that Tiger!

Hold that Tiger!

C-L-E-M-S-O...N!"
Colorado,Fight CU,Richard Durnett,Unknown,Unknown,Yes,No,151,27,No,No,No,Yes,0Q3VKlBT4lugyLG5n9LKIz,"Fight CU down the field,

CU must win

Fight, fight for victory

CU knows no defeat

We'll roll up a mighty score

Never give in

Shoulder to shoulder

We will fight, fight

Fight, fight, fight!"
Duke,Fight Blue Devils,Joe Hewitt and Doug Ballin,1947,No,Yes,No,139,58,No,Yes,Yes,No,0fDiYvMTYWSSrIuHVJGMZj,"Fight, Fight Blue Devils

Fight for Duke and the Blue and White

March on through

For the touchdown's there for you

Go get 'em

Duke is out to win today

Carolina goodnight

So turn on the steam team

Fight Blue Devils Fight"
Florida,The Orange and Blue,George Hamilton and Thornton Whitney Allen,1925,No,Yes,No,71,66,No,Yes,No,No,15yyBZUfgNbft50mMB7a4V,"So give a cheer for the Orange and Blue

Waving Forever!

Forever pride of Old Florida,

May she droop never.

We'll sing a song for the flag today,

Cheer for the team at play!

On to the goal,

We'll fight our way for

Flor-i-da!

Go Gators!"
Florida State,FSU Fight Song,Doug Alley and Tommie Wright,1950,Yes,Yes,No,135,92,Yes,No,No,Yes,552UZRLtAO5YXvIVRLjphI,"You got to fight, fight, fight for FSU,

You got to scalp 'em Seminoles.

You got to win, win, win, win this game,

and roll on down and make those goals.

For FSU is on the warpath now,

and at the battles end she's great.

For it's fight, fight, fight for victory,

the Seminoles of Florida State.

F-L-O-R-I-D-A-S-T-A-T-E

Florida State! Florida State! Florida State!

WHOOOOOOO!"
Georgia,"Glory, Glory","Hugh Hodgson, based on traditional song",1915,Yes,No,No,162,41,No,No,No,Yes,7masdC1Jz6f4okFu4tAwOz,"Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A.

Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A."
Georgia Tech,Ramblin' Wreck From Georgia Tech,Unknown,Unknown,Yes,Yes,No,148,68,No,Yes,Yes,No,0ZOzvjnZDwrtluHrwbtvGR,"I'm a Ramblin' Wreck from Georgia Tech and a hell of an engineer

A helluva', helluva helluva helluva helluva engineer

Like all the jolly good fellows I drink my whiskey clear

I'm a Ramblin' Wreck from Georgia Tech and a hell of an engineer

Oh, if I had a daughter sir, I'd dress her in white and gold

And put her on the campus, sir, to cheer on the brave and bold

And if I had a son, sir, I'd tell you what he'd do

He would yell ""To Hell With Georgia"" like his daddy used to do

Oh, I wish I had a barrel of rum and sugar three thousand pounds

A college bell to put it in and a clapper to stir it around

I'd drink to all the good fellows who come from far and near

I'm a ramblin' gamblin' hell of an engineer! Hey!"
Illinois,Oskee-Wow-Wow,H.R. Green and H.V. Hill,1910,Yes,Yes,No,162,60,Yes,Yes,Yes,No,6C0vaoMxzM21yYgJBmGx5K,"Old Princeton yells her Tiger,

Wisconsin, her Varsity

And they give the same old Rah, Rah, Rah,

At each University,

But the yell that always thrills me

And fills my heart with joy,

Is the good old Oskee-Wow-Wow,

That they yell at Illinois.

Oskee-Wow-Wow,

Illinois,

Our eyes are all on you.

Oskee-Wow-Wow,

Illinois,

Wave your Orange and your Blue,

Rah, Rah,

When the team trots out before you,

Every man stand up and yell,

Back the team to victory,

Oskee-Wow-Wow.

Illinois."
Indiana,"Indiana, Our Indiana",Russell P. Harker and Karl L. King,1912,Yes,Yes,No,150,63,No,Yes,No,Yes,2Wbo5zdRDnq4pOgWL9avaG,"Indiana, Our Indiana

Indiana, we're all for you

We will fight for

the Cream & Crimson,

For the glory of Old IU

Never daunted, we cannot falter

In the battle, we're tried and true

Indiana, Our Indiana

Indiana, we're all for you!"
Iowa,Iowa Fight Song,Meredith Willson,1950,No,Yes,No,150,72,No,No,No,No,604ELPPFgbFlW0SHoEYVJw,"The word is 'Fight! Fight! Fight! for IOWA,'

Let every loyal Iowan sing;

The word is 'Fight! Fight! Fight! for IOWA,'

Until the walls and rafters ring (rah! rah!)

Come on and cheer, cheer, cheer for IOWA,

Come on and cheer until you hear the final gun.

The word is 'Fight! Fight! Fight! for IOWA,'

Until the game is won."
Iowa State,Iowa State Fights,"Jack Barker, Manly Rice, Paul Gnam, Rosalind K. Cook",1930,Yes,Yes,No,155,55,No,No,No,Yes,3yyfoOXZQCtR6pfRJqu9pl,"O we will fight, fight, fight for Iowa State,

And may her colors ever fly.

Yes, we will fight with might for Iowa State,

With a will to do or die,

Rah! Rah! Rah!

Loyal sons forever true,

And we will fight the battle through.

And when we hit that line we'll hit it hard

ev'ry yard for I.S.U."
Kansas,I'm a Jayhawk,"George ""Dumpy"" Bowles",1912,Yes,Yes,No,137,62,Yes,No,Yes,No,0JzbjZgcjugS0dmPjF9R89,"Talk about the Sooners, Cowboys and the Bears,

Aggies and the Tiger and his tail.

Talk about the Wildcats, and the Cyclone boys,

But I'm the bird to make 'em weep and wail.

'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,

Up at Lawrence on the Kaw-

'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,

With a sis-boom, hip hoorah,

Got a bill that's big enough

To twist a Tiger's tail,

Rope some 'Horns and listen

To the Red Raiders wail-

'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,

Riding on a Kansas gale."
Kansas State,Wildcat Victory,Harry E. Erickson,1927,Yes,Yes,No,80,67,No,Yes,No,No,4xxDK4g1OHhZ44sTFy8Ktm,"Fight, you K-State Wildcats

For alma mater fight-fight-fight!

Glory in the combat

For the purple and the white.

Faithful to our colors.

We will ever be,

Fighting ever fighting for a

Wildcat Victory!

Go State!"
Kentucky,On! On! U of K,Troy Perkins and Charles A. Lampert,1923,Yes,Yes,Yes,79,52,No,Yes,No,Yes,6QMYhg8EaZm7P1n4FZrCWB,"On, on, U of K, we are right for the fight today,

Hold that ball and hit that line;

Ev'ry Wildcat star will shine;

We'll fight, fight, fight, for the blue and white

As we roll to that goal, Varsity,

And we'll kick, pass and run, 'till the battle is won,

And we'll bring home the victory."
Louisville,Fight! U of L,Robert B. Griffith,1962,No,Yes,No,139,80,No,No,No,Yes,1sCmJDLWfD4hsCHyc9hqUr,"Fight now for victory and show them

How we sure will win this game

Fight on you Card'nals and prove to them

That we deserve our fame.

Rah, Rah, Rah!

Roll up the score now and beat the foe

So we can give a yell

With a FIGHT! give them all you've got

For we are with you U of L."
LSU,Fight for LSU,Castro Carazo and W.G. Higginbotham,1937,No,Yes,No,168,83,No,Yes,No,Yes,5AeAxCC07c4eyWY8eKopQ4,"Like Knights of old, Let's fight to hold

The glory of the Purple Gold.

Let's carry through, Let's die or do

To win the game for dear old LSU.

Keep trying for that high score;

Come on and fight,

We want some more, some more.

Come on you Tigers, Fight! Fight! Fight!

for dear old L-S-U.

RAH!"
Maryland,Maryland Fight Song,Ralph Davis,1939,Yes,Yes,No,142,56,No,No,No,No,6PKoPWKJLOBI2K33RkFvbc,"Fight, fight, fight for Maryland,

Honor now her name again,

Push up the score, keep on fighting for more,

For Maryland, GO TERPS!

And we will fight, fight, fight for terrapins,

Keep on fighting 'till we win.

So sing out our song as we go marching along,

To victory!!!"
Miami,Miami U How-Dee-Doo,Henry Fillmore,1950,No,Yes,No,75,73,No,No,No,Yes,2TDHghruqAnMmH4L9GFUUr,"Miami, Miami, Miami, Hurricanes

Drive, Drive, you Hurricanes

Keep right on goin, up that scorin'

Miami, Miami, Miami, Hurricanes

Drive on over the goal and on to victory.

M-I-A-M-I, M-I-A-M-I, fight,fight,fight."
Michigan,The Victors,Louis Elbel,1898,Yes,Yes,No,83,122,No,No,No,No,6wVbHLCBOCqp6052WcWXLG,"Hail! to the victors valiant

Hail! to the conqu'ring heroes

Hail! Hail! to Michigan

the leaders and best

Hail! to the victors valiant

Hail! to the conqu'ring heroes

Hail! Hail! to Michigan,

the champions of the West!"
Michigan State,Victory for MSU,Francis Irving Lankey and Arthur L. Sayles,1915,Yes,Yes,No,145,112,No,Yes,No,Yes,4BSrPApxbeUNPA5Q8LyfMd,"On the banks of the Red Cedar,

There's a school that's known to all;

Its specialty is winning,

And those Spartans play good ball;

Spartan teams are never beaten,

All through the game they fight;

Fight for the only colors,

Green and White.

Go right through for MSU,

Watch the points keep growing.

Spartan teams are bound to win,

They're fighting with a vim.

Rah! Rah! Rah!

See their team is weakening,

We're going to win this game.

Fight! Fight! Rah! Team, Fight!

Victory for MSU."
Minnesota,The Minnesota Rouser,Floyd Hutsell,1909,No,Yes,Yes,151,60,Yes,No,No,Yes,2EeyLSmHKdZulOKGcTpLS0,"Minnesota, Hats off to thee!

To thy colors, true we shall ever be,

Firm and strong, united are we.

Rah! Rah! Rah! for Ski-U-Mah,

Rah! Rah! Rah! Rah! Rah for the U of M.

[Repeat]

M - I - N - N - E - S - O - T - A!

Minnesota! Minnesota! Yeaaaaaaah Gophers!"
Mississippi,Forward Rebels,E.F. Yerby,Unknown,Unknown,Yes,No,153,65,No,Yes,No,No,301ClIQs4cI8poO11mklxg,"Forward Rebels, march to fame,

Hit that line and win this game,

We know that you'll fight it through,

For your colors Red and Blue — Fight, Fight, Fight.

Rebels you're the Southland's pride,

Take that ball and hit your stride,

Don't stop 'till the victory's won,

For your Ole Miss.

Fight, fight for your Ole Miss."
Mississippi State,Hail State,Joseph Peavey,1936,No,Yes,Yes,146,54,No,No,No,Yes,3WN6SK7WfjUSRDFH4PlMNV,"Hail dear ol' State!

Fight for that victory today.

Hit that line and tote that ball,

Cross the goal before you fall!

And then we'll yell, yell, yell, yell!

For dear ol' State

we'll yell like H-E-L-L!

Fight for Mis-sis-sip-pi State,

Win that game today!"
Missouri,Fight Tiger,Donald MacKay and Robert Karsch,1946,Yes,Yes,Yes,138,86,No,No,No,No,4nrVmzJetWGvMa3OKGJm2Q,"Fight, Tiger, fight for old Mizzou,

Right behind you, everyone is with you.

Break the line and follow down the field,

And, you'll be, on the top, upon the top.

Fight, Tiger, you will always win,

Proudly keep the colors flying skyward.

In the end, we'll win the victory,

So Tiger, fight for Old Mizzou!"
Nebraska,Dear Old Nebraska U.,Harry Pecha,1924,Yes,No,No,136,94,No,No,No,No,7z2TihIyf3IZR1r0AmI1Ik,"There is no place like Nebraska,

Dear old Nebraska U.

Where the girls are the fairest,

The boys are the squarest,

Of any old school that I knew.

There is no place like Nebraska,

Where they're all true blue.

We'll all stick together,

In all kinds of weather,

For dear old Nebraska U."
North Carolina,I'm a Tar Heel Born,Unknown,Unknown,Unknown,Yes,No,158,38,No,No,No,No,23cCr6w4YgxQaYlr3eNTUr,"I'm a Tar Heel born I'm a Tar Heel bred

And when I die I'm a Tar Heel dead.

So it's RAH, RAH, Car'lina 'lina

RAH, RAH, Car'lina 'lina

RAH, RAH, Car'lina

RAH! RAH! RAH!"
North Carolina State,The Red & White Song,J. Perry Watson,1961,No,No,No,90,82,No,Yes,Yes,Yes,2Pn76lkyMhOxJj8maIrIRT,"We're the Red and White from State

And we know we are the best.

A hand behind our back,

We can take on all the rest.

Come over the hill, Caroline.

Devils and Deacs stand in line.

The Red and White from N.C. State.

Go State!"
Northwestern,Go! U Northwestern,Theodore C. Van Etten,1912,Yes,Yes,No,140,57,No,No,No,No,4iWO9U49SZ0vvzto7qxRxN,"Go! U Northwestern!

Break right through that line.

With our colors flying,

We will cheer you all the time.

U! Rah! Rah!

Go! U Northwestern!

Fight for victory.

Spread far the fame of our fair name.

Go Northwestern, win that game!

(Whistle)

(Yell) Go! Northwestern Go!

(Whistle)

(Yell) Go! Northwestern Go!

Hit 'em hard!

Hit 'em low!

Go, Northwestern Go!"
